input0:int,input1:int,input2:int,output:int
-100,-100,-100,78086
-10,-10,-10,69
-1,-1,-1,0
0,0,0,0
1,1,1,0
2,2,2,2
3,3,3,5
4,4,4,9
5,5,5,17
6,6,6,29
10,10,10,114
34,34,34,3698
35,35,35,4177
36,36,36,4035
100,100,100,82090
37,36,-3,4115
4,-63,67,139
67,-42,-84,20287
14,-84,-63,1646
-29,26,-17,1648
84,40,84,24500
-96,-19,-42,14628
-47,-90,7,14682
66,3,-34,2748
23,26,-80,1811
67,-28,85,15365
-36,74,-50,7073
19,62,48,2219
87,-59,-51,40670
34,-31,-6,3071
-55,-98,-3,21880
-27,3,63,729
47,53,-97,12491
92,3,-5,2486
68,52,-59,20171
-54,36,-34,8706
1,-18,-5,7
3,61,-49,96
-43,-50,93,8862
2,-35,-41,32
-20,-4,-28,153
-10,16,46,131
-7,-65,56,189
-5,-11,49,16
6,-52,-80,252
-85,79,-33,44147
-98,56,87,48461
38,-83,-10,9989
57,100,-74,27710
-84,-98,-60,52889
17,29,-12,778
34,-86,6,8293
-82,80,0,40146
11,45,-21,564
16,-87,8,1997
-13,26,80,352
96,79,-99,60527
69,-28,31,11768
89,33,-65,24347
27,-85,17,5397
-49,42,67,8413
83,-37,-32,23371
50,-16,89,5623
45,69,-39,11913
9,-39,-19,330
6,84,-43,361
-99,-21,-3,16155
82,65,-77,39966
-96,-17,-54,13609
-96,-75,58,53507
83,-61,-13,34621
68,-81,-76,31063
20,-4,82,277
96,53,-92,41524
-35,-81,-52,7877
10,36,-15,372
63,94,-6,30164
18,53,85,1826
-85,41,45,24335
-46,68,-50,11476
-4,-31,-85,20
-71,-61,-63,26913
58,59,-1,16016
30,46,-76,4204
-73,0,-19,859
94,34,62,29495
56,34,-74,9439
-58,-38,-70,11707
-65,-14,60,6115
7,-45,-34,267
75,16,11,8217
9,49,82,454
48,4,47,1212
88,-58,91,37990
-65,-40,90,14986
-52,28,45,5992
80,73,-91,39050
41,-58,-86,8990
57,-78,88,22318
-14,17,-61,315
-27,-82,97,5026
-3,96,-72,25
-38,-33,19,3717
72,-34,79,15541
-71,47,29,19545
26,27,-51,1936
93,-19,14,14087
4,22,-78,54
29,-87,12,6193
56,0,4,175
85,60,-30,35878
-7,-73,93,226
-48,59,-97,10633
79,-31,15,16820
-57,16,-96,5884
-79,41,36,22068
-7,36,-52,114
-33,-17,-76,1853
30,-10,22,1000
-73,-35,-100,17354
-33,21,11,1732
21,-11,-45,582
83,-76,76,48608
-80,88,-69,43344
-70,-99,-38,37724
39,-29,-88,5531
70,61,-14,24584
4,49,6,104
-42,-29,44,4470
41,-21,-61,3652
69,-6,49,4055
-99,8,98,18545
-5,67,21,74
36,4,8,516
26,91,-98,5910
95,-24,20,19847
75,-43,84,25765
88,70,-76,44902
-71,-66,-12,25524
-1,-95,77,0
5,-36,-88,131
76,-65,-64,31125
7,-35,49,228
88,70,49,44198
75,94,68,47202
67,94,96,39524
17,-2,-52,178
55,99,-63,26689
50,-42,-79,10582
15,79,4,1620
-45,-65,100,10839
29,85,91,6526
-40,72,-81,8718
-55,-62,52,15787
38,-75,-66,9894
91,74,72,56532
-3,82,1,19
75,-17,-34,10412
92,-51,26,34972
-59,12,82,6793
47,-39,-36,8143
-25,32,-48,1580
-65,25,-65,9664
-82,21,-8,11266
99,1,84,12289
-47,-12,-56,3551
90,61,-64,44409
-51,-32,79,8726
-14,82,-47,1100
-74,68,3,27889
87,-84,92,59724
10,52,-54,575
-44,23,4,3309
-26,-45,-43,2392
-23,-42,81,2041
17,61,-27,1625
70,-95,19,38020
62,13,45,5919
-72,34,-9,13352
65,-54,-30,19156
9,-30,46,276
45,24,80,5133
-6,-13,95,44
-28,77,75,4414
-17,27,36,580
-11,8,-57,133
27,91,-54,6150
-68,77,-16,26624
6,78,93,363
-35,-58,59,5980
-19,67,6,1652
99,-21,27,20148
-32,-25,-71,2063
11,32,37,446
83,-92,40,53940
2,9,3,8
78,17,-61,12199
25,35,25,1984
68,57,11,21250
-44,-83,-69,12075
