input0:int,input1:int,input2:int,output:int
-100,-100,-100,100
-10,-10,-10,10
-8,-8,-8,8
-7,-7,-7,7
-6,-6,-6,-23
-5,-5,-5,-19
-4,-4,-4,-15
-1,-1,-1,-3
0,0,0,1
1,1,1,7
2,2,2,13
3,3,3,19
4,4,4,25
5,5,5,31
6,6,6,49
7,7,7,43
8,8,8,49
10,10,10,61
100,100,100,601
0,-57,72,72
14,-38,32,32
-50,59,-51,-198
-95,92,83,-391
24,-3,-92,213
-31,71,-2,-152
-44,21,4,-215
64,-25,-17,17
69,-36,-19,19
-39,-94,63,63
48,-46,2,2
27,21,62,198
-85,-77,96,96
73,-53,-13,13
27,39,89,225
-37,-48,29,29
-42,-58,36,36
-29,-36,52,52
-96,-80,-79,79
-57,8,38,-246
-53,55,28,-236
-81,85,-11,-393
59,-84,-19,19
98,-50,72,72
74,13,-28,399
14,-99,92,92
52,-76,-48,48
11,79,-46,102
66,-79,25,25
2,-34,-39,39
-7,-30,53,53
-24,-36,-5,5
-61,38,-81,-223
97,48,77,563
-5,59,4,-20
-70,-39,68,68
48,-80,-92,92
-88,82,-34,-405
79,44,-22,418
5,-49,66,66
67,-50,33,33
-58,-51,41,41
86,6,58,775
77,-19,96,96
46,21,-3,234
-62,-92,-43,43
-85,70,-19,-405
0,-87,-70,70
61,-9,93,93
77,59,-77,463
-36,-54,11,11
-67,-6,-90,-244
-49,-41,35,35
-74,-8,-7,7
14,-41,31,31
-68,76,-6,-333
64,16,-77,398
0,-5,-24,25
87,59,-32,468
-69,-11,-77,77
87,15,74,510
40,78,73,274
37,-98,17,17
0,-19,33,33
-24,-13,73,73
-67,94,-5,-329
-56,-22,-87,87
96,-52,36,36
-69,-7,2,2
26,55,-88,219
47,-97,32,32
2,-82,-80,80
56,71,17,298
4,21,-92,113
88,-29,73,73
15,99,79,155
-81,-41,23,23
-5,-68,99,99
10,-76,-95,95
-52,97,67,-192
6,-20,-56,56
19,-98,-48,48
76,39,21,402
69,5,66,412
-6,-47,-36,36
-6,-95,1,1
15,99,-74,150
-46,52,-23,-206
-26,72,67,-62
23,-40,-23,23
68,53,-12,353
14,-31,-18,18
-86,84,-61,-368
68,-61,43,43
55,57,3,279
-40,8,-59,-140
-69,37,53,-291
61,-47,76,76
26,-88,-59,59
-6,-53,-17,17
-57,-9,1,1
62,-63,-82,82
-12,1,-81,22
-93,-26,68,68
27,-40,-27,27
80,79,71,472
8,-1,-23,64
-4,-51,-4,4
35,-75,-93,93
82,-38,68,68
51,-10,71,71
34,-32,-35,35
79,-50,-47,47
69,-5,-5,351
-93,-42,-35,35
-44,74,-91,-128
56,12,-66,347
-81,67,-53,-351
-58,49,-36,-253
23,-45,53,53
93,-51,-56,56
68,-41,81,81
36,-1,-83,264
87,39,15,451
-37,-53,65,65
-73,11,-31,-333
-67,1,-72,-262
-52,-75,70,70
-78,72,48,-341
-67,40,89,-245
13,42,77,143
23,-27,94,94
57,75,-24,310
-75,12,51,-323
4,-52,-28,28
-22,54,-94,-15
66,42,-50,381
64,40,76,397
-65,52,-7,-317
12,-67,-46,46
-79,-90,-5,5
36,47,74,255
54,31,-70,341
-44,-93,12,12
-56,54,85,-194
-68,89,52,-287
93,70,-85,551
-86,-85,-23,23
15,5,-49,125
-74,-95,46,46
-49,-21,25,25
60,-35,46,46
35,85,89,265
-31,-68,-54,54
14,-96,90,90
-82,44,4,-405
41,33,64,270
-71,-48,7,7
41,70,-7,213
73,2,30,396
-31,39,-56,-98
53,100,-58,324
41,44,46,252
-11,-51,76,76
22,-15,-41,41
45,-74,-57,57
-12,97,-44,-15
27,-40,-29,29
-74,53,69,-300
76,76,75,456
20,-1,65,166
6,49,-80,111
-75,-60,-68,68
94,31,43,514
-52,-89,84,84
-73,4,-33,-331
34,-51,-39,39
45,74,-99,325
36,32,-27,208
73,23,49,415
-99,6,-19,-98
