input0:int,input1:int,input2:int,output:int
-100,-100,-100,-199
-10,-10,-10,-19
-7,-7,-7,-10
-6,-6,-6,-7
-5,-5,-5,-4
-4,-4,-4,-3
-3,-3,-3,-2
-1,-1,-1,0
0,0,0,1
1,1,1,0
2,2,2,-1
3,3,3,-2
4,4,4,-3
5,5,5,-4
6,6,6,-5
9,9,9,-8
10,10,10,-9
11,11,11,-10
100,100,100,-99
42,37,41,-41
4,21,-52,-1
-91,-4,1,-90
-50,28,98,-49
1,-14,97,0
64,-72,69,-63
68,39,-93,-65
63,-44,49,-62
-68,28,-87,-66
73,41,-81,-69
-7,94,-4,-6
21,-26,36,-20
80,12,-4,-79
95,67,-26,-93
86,-65,-78,-161
-85,95,-23,-82
-50,6,-26,-47
96,-39,-28,-121
39,95,10,-38
61,-37,-65,-120
-94,-37,-96,-185
-98,21,2,-97
-78,33,82,-77
84,22,-59,-83
-27,-85,25,-26
-43,56,78,-42
-67,98,-49,-66
-34,-69,-52,-77
56,40,-64,-52
23,73,37,-22
-59,-36,-90,-148
92,-86,67,-91
20,-90,-8,-25
5,-24,-62,-58
-18,59,81,-17
81,-31,1,-80
21,-84,70,-20
-62,-30,-3,-61
-21,19,78,-20
-66,16,70,-65
-47,14,100,-46
85,-8,39,-84
-39,-7,42,-38
-68,20,80,-67
-85,72,45,-84
77,-4,-38,-112
54,38,96,-53
-9,21,-42,-6
-31,-4,-85,-110
19,75,-71,-15
76,74,68,-75
81,8,-69,-80
-76,-100,-86,-157
58,10,67,-57
39,-21,40,-38
-69,-97,-41,-100
10,31,88,-9
19,43,57,-18
-50,-10,28,-49
-66,-18,76,-65
17,26,-75,-14
-53,-28,24,-52
46,91,-26,-44
-20,87,59,-19
-88,71,74,-87
-8,-84,-100,-107
0,81,-100,1
-23,-9,17,-22
-97,80,-54,-93
49,-26,3,-48
-56,10,85,-55
-81,68,-53,-77
87,38,87,-86
23,65,-5,-21
2,-57,100,-1
0,22,33,1
-34,-48,-39,-71
41,9,99,-40
86,-11,-66,-147
72,-21,-12,-75
94,-70,-14,-101
-2,0,83,-1
-29,16,-83,-25
87,-28,-14,-94
68,39,49,-67
-44,-75,74,-43
-41,-35,-35,-70
73,-80,-90,-162
75,62,73,-74
-7,-70,-73,-72
4,-52,9,-3
-44,6,-55,-41
-85,-10,77,-84
79,-66,60,-78
-77,29,69,-76
52,-76,31,-51
-28,63,82,-27
-81,-21,100,-80
-56,-15,-36,-87
-99,37,23,-98
67,46,-26,-64
49,-18,-64,-106
24,-67,80,-23
-21,-78,-82,-94
69,7,-50,-68
-19,-21,15,-18
-9,54,59,-8
12,52,49,-11
40,47,-22,-37
-92,-21,-43,-127
74,57,-46,-72
77,76,-38,-75
66,-56,12,-65
-18,97,-35,-16
-56,-68,67,-55
32,-82,-35,-61
-82,77,-12,-79
-29,81,14,-28
81,71,-52,-78
-1,-15,100,0
-53,31,1,-52
46,-85,59,-45
-28,13,-14,-25
45,7,55,-44
93,89,32,-92
81,38,14,-80
-25,36,91,-24
-53,52,86,-52
-75,-6,-8,-80
67,13,-54,-64
6,26,-67,-4
48,90,-42,-43
48,55,45,-47
12,25,60,-11
39,-39,-71,-100
38,-98,32,-37
-12,49,-63,-9
-42,23,-18,-41
78,-43,-1,-77
-35,-75,-90,-124
45,17,-13,-42
-5,54,-15,-2
-14,83,2,-13
15,-27,-97,-108
-45,2,-31,-66
-49,55,75,-48
41,60,23,-40
18,93,-29,-17
72,9,-52,-69
98,-66,-14,-105
74,40,-42,-69
-74,-21,83,-73
18,-28,90,-17
-24,92,29,-23
89,-84,-24,-106
-32,63,-14,-29
27,14,-51,-22
-89,-61,-38,-124
-11,52,-3,-10
59,16,-6,-56
36,83,64,-35
-5,-56,-19,-22
1,36,-68,1
-79,58,83,-78
-75,-29,36,-74
34,6,51,-33
-98,-51,-34,-125
-1,-100,-13,-6
30,23,8,-29
74,53,61,-73
-79,-87,93,-78
24,-38,54,-23
55,-16,14,-54
29,-12,-65,-88
39,78,-91,-34
-44,-86,59,-43
-76,-23,11,-75
-33,33,-79,-32
17,59,-78,-16
-1,4,71,0
76,58,-92,-71
