input0:int,input1:int,input2:int,output:int
-100,-100,-100,74
-10,-10,-10,11
-2,-2,-2,6
-1,-1,-1,5
0,0,0,4
1,1,1,4
2,2,2,5
3,3,3,5
4,4,4,6
5,5,5,5
6,6,6,6
10,10,10,7
100,100,100,34
-18,24,71,88
99,84,30,66
52,-7,-38,11
4,84,82,107
-100,-11,78,24
-99,-62,88,50
15,-61,16,26
60,74,-44,4
87,-51,-81,49
49,45,87,76
-100,16,-63,5
-20,-2,-75,97
98,-2,-51,17
-22,-70,-30,41
-3,-4,50,77
-99,29,57,15
-57,16,20,26
-80,-68,-51,14
14,74,57,61
-46,68,-32,7
4,-49,34,61
-8,-6,78,115
93,-31,-26,43
-81,93,-45,28
78,17,26,38
-44,20,4,38
-74,47,-12,61
88,80,88,32
-70,62,11,62
100,-25,21,60
95,-58,39,21
-35,48,65,57
76,11,-15,52
38,-23,-81,92
-27,-84,-18,21
-61,-24,55,30
44,-56,28,14
42,28,67,57
-30,-56,23,20
92,-24,-99,65
40,74,43,14
-70,-18,-81,59
85,-81,55,18
81,69,68,12
19,-83,-6,11
43,-28,-81,88
-93,-15,-66,13
-45,69,13,35
81,8,-47,8
-61,-51,87,84
-25,8,-24,14
-77,88,92,48
-72,26,10,58
57,86,-26,31
-61,99,-94,65
10,43,42,49
53,-42,-25,3
-34,2,-12,12
19,-36,80,113
1,-59,-84,141
26,93,-46,29
30,-72,91,125
35,-75,15,6
7,16,23,28
-73,50,-35,27
49,38,-72,56
-33,-36,-42,42
-75,-50,-69,42
13,-72,87,136
46,45,-10,36
24,-69,86,123
-54,24,-89,79
-98,7,86,34
74,-19,-87,64
34,11,-33,17
15,-78,-75,117
-56,2,51,24
4,-51,96,155
-89,40,-73,16
51,-41,-59,50
86,-55,78,46
-9,-32,-61,93
-33,-84,-18,15
83,-77,-37,8
-66,-69,-70,57
-28,-39,-6,7
-8,-1,-96,141
-70,41,0,74
81,-58,43,1
49,60,75,55
-73,-71,94,87
-97,-6,-40,31
-38,-11,-58,56
-15,28,1,15
-38,13,1,35
-10,-59,-21,37
41,-30,2,28
-92,-3,2,84
17,27,-51,58
-83,-83,-20,32
18,47,-76,91
74,100,-54,9
-95,-62,-95,64
12,39,68,87
27,-94,96,140
-10,-1,-65,92
65,-38,-80,67
-27,-84,-57,79
13,-2,34,43
-49,79,99,88
-99,71,-27,69
-99,-56,-32,35
-77,-49,-21,32
-100,-52,17,60
-91,90,60,15
-74,37,54,4
84,-6,-73,31
-45,-16,-6,28
12,-97,-32,60
-92,5,-14,68
-99,-94,51,0
43,-59,49,46
13,-44,86,129
-1,-17,55,89
78,10,-59,12
-81,38,-56,0
88,-80,-32,20
-38,-32,-85,100
-90,62,-28,56
-43,4,-24,3
24,45,52,49
53,60,16,37
4,40,-81,113
-24,68,-18,6
-82,26,-38,26
-6,-64,21,42
3,63,-41,50
59,-32,0,48
4,92,10,3
7,33,48,63
53,9,-84,76
-6,21,-93,133
-53,-81,-63,62
-52,19,62,42
80,-83,-14,38
58,-86,39,22
78,13,34,25
89,95,-27,64
-64,0,41,1
-3,61,6,2
80,-30,-94,71
-39,63,-77,68
-15,53,-56,63
34,-67,-100,134
85,-53,24,34
80,5,-67,23
72,-14,-91,71
-12,53,64,78
77,74,-82,36
-65,36,80,52
60,-50,-80,74
1,-34,-15,32
20,7,-50,58
-53,31,28,13
-8,-34,45,70
10,51,77,99
29,-62,76,102
-94,5,12,73
-84,96,96,45
-5,49,40,50
-32,67,-16,17
-95,32,19,69
-78,58,-92,53
56,-40,-98,103
-49,100,70,40
60,-92,38,20
-5,-75,8,26
30,-44,-19,11
-67,9,-65,33
-1,-22,-42,71
1,29,-88,130
-30,-23,-21,10
33,77,-98,103
71,-2,39,8
-60,99,64,21
86,-69,25,31
-80,-80,-78,57
