input0:int,input1:int,input2:int,output:int
-100,-100,-100,98
-10,-10,-10,8
-1,-1,-1,-1
0,0,0,-2
1,1,1,-3
2,2,2,-4
3,3,3,-5
4,4,4,-6
5,5,5,-7
6,6,6,-8
10,10,10,-12
100,100,100,-102
-93,-86,96,91
-43,99,-72,41
-2,62,-19,0
60,66,46,-62
23,-75,-99,-25
-93,-21,57,91
-9,-20,21,7
-22,-33,-17,20
42,63,8,-44
20,89,-96,-22
-55,15,-41,53
64,76,8,-66
-97,-90,-28,95
-4,16,89,2
-16,-34,39,14
-19,4,-6,17
-91,-4,-36,89
-75,12,-4,73
-84,16,-69,82
4,-85,-57,-6
41,-7,-16,-43
30,-23,-8,-32
32,-66,44,-34
-95,70,12,93
-20,-89,-45,18
-62,-35,-78,60
44,-24,18,-46
-67,33,22,65
6,-99,-33,-8
42,22,-29,-44
59,16,-57,-61
63,-55,-42,-65
-24,-51,-80,22
-81,-58,-96,79
-13,-48,-1,11
16,-43,-93,-18
51,-32,87,-53
5,-80,-30,-7
-99,-49,-72,97
-35,39,84,33
35,-48,-56,-37
37,2,-28,-39
-85,-100,-3,83
-32,62,31,30
32,-100,-9,-34
70,-6,-58,-72
-7,-14,-39,5
-36,41,40,34
-79,53,-20,77
-14,-62,20,12
19,-2,-84,-21
-43,-9,8,41
-9,-84,-74,7
97,-56,9,-99
-11,-32,-30,9
61,47,48,-63
-87,-26,-57,85
98,-76,-78,-100
89,-8,82,-91
-80,-47,88,78
21,-90,77,-23
19,-63,62,-21
-40,-26,38,38
-32,40,-38,30
21,73,-84,-23
-75,17,18,73
78,92,79,-80
31,-96,-61,-33
39,31,58,-41
-53,41,-52,51
-77,71,-92,75
-11,73,98,9
93,89,-42,-95
-61,-51,33,59
-75,-22,-46,73
1,-46,24,-3
74,-10,69,-76
82,-83,-48,-84
-51,-69,-80,49
-51,30,-28,49
40,-92,-95,-42
67,8,18,-69
-91,-5,-76,89
-48,48,54,46
-53,56,-83,51
69,46,61,-71
51,52,40,-53
-24,-25,-43,22
55,-31,40,-57
29,48,-45,-31
-75,-53,22,73
-20,-21,-3,18
-89,-33,52,87
44,62,-81,-46
-72,-51,-11,70
54,-54,80,-56
36,-20,-12,-38
28,46,-42,-30
51,42,75,-53
-66,55,-13,64
-29,8,-97,27
-10,37,-6,8
-19,66,-79,17
48,-70,-67,-50
-21,-21,-43,19
-19,29,87,17
1,-53,-2,-3
94,53,-4,-96
-86,49,71,84
-23,97,52,21
90,82,22,-92
25,-37,-82,-27
-33,-44,28,31
87,-11,-29,-89
-74,26,28,72
-81,-13,87,79
-11,-97,-93,9
65,-48,-16,-67
90,61,12,-92
48,-27,81,-50
4,38,-7,-6
82,91,83,-84
-3,26,13,1
7,86,-53,-9
85,-14,11,-87
-21,-25,-38,19
11,64,-45,-13
49,-93,-55,-51
-48,-23,-84,46
6,75,99,-8
41,64,-54,-43
70,88,-38,-72
-16,-82,43,14
85,-8,40,-87
-83,9,-39,81
54,25,-98,-56
-17,-64,-34,15
-35,63,-32,33
82,86,45,-84
-48,87,-89,46
-61,-70,-87,59
76,21,7,-78
27,90,-57,-29
68,-26,90,-70
-34,70,75,32
20,25,16,-22
10,-63,-71,-12
10,-52,-88,-12
-67,27,43,65
-57,-68,-94,55
-33,-33,-7,31
96,15,-80,-98
57,65,94,-59
93,-80,39,-95
88,-99,75,-90
22,73,-43,-24
31,-9,-16,-33
-87,-56,70,85
-31,-92,80,29
36,-64,-85,-38
65,-17,-52,-67
71,-56,46,-73
-59,-84,87,57
-71,91,-93,69
-100,8,82,98
61,-96,73,-63
-68,-33,-6,66
-62,18,71,60
24,-67,98,-26
70,28,-45,-72
57,-75,-40,-59
35,-26,57,-37
91,74,-88,-93
-28,41,-80,26
40,58,73,-42
-3,60,38,1
89,-18,60,-91
75,94,-30,-77
-43,-71,-55,41
-79,-14,-89,77
93,38,73,-95
-17,88,55,15
78,-22,56,-80
-53,95,-86,51
5,-74,4,-7
82,43,13,-84
47,-9,-15,-49
30,12,-5,-32
