input0:int,input1:int,input2:int,output:int
-100,-100,-100,25800662
-10,-10,-10,3002
-1,-1,-1,8
0,0,0,12
1,1,1,20
2,2,2,46
3,3,3,104
4,4,4,214
5,5,5,402
10,10,10,3842
100,100,100,25881062
-37,58,48,1423144
96,86,68,5635786
8,23,95,21089868
-21,-65,8,6
39,93,-69,5962534
-36,-25,52,1940732
-92,81,68,5609528
-29,-20,-52,1941990
-53,50,-51,1803608
-61,88,36,461894
-65,-38,-5,-814
-71,-81,-59,3185024
-84,26,-52,1941146
-61,17,-31,253750
-78,-38,-31,249176
8,11,-40,696094
-82,56,-21,55704
2,-26,-24,93708
99,-89,0,-166
87,86,-24,103388
-58,-41,-44,1000688
45,-76,55,2425030
100,12,-47,1318668
60,72,-45,1114656
74,-25,22,69922
27,100,40,704912
31,12,-13,10254
-99,-3,56,2595914
44,-91,26,126788
-1,88,-71,6667514
75,28,-14,14992
-36,-97,-41,754054
2,90,80,10686392
37,58,-28,177998
-35,-3,-2,-132
61,71,-6,2270
73,45,30,232862
-39,3,11,4088
5,-65,4,-468
80,14,96,21995960
5,45,71,6662174
9,90,-80,10687512
-26,-67,-62,3883930
-83,64,-62,3893368
-100,2,-37,504548
-22,-17,-61,3648632
27,-77,-93,19368658
77,31,47,1318330
37,-14,-39,630718
1,-28,-15,14786
-74,-66,-61,3636212
13,45,-63,4157010
5,63,-48,1427666
-85,83,-69,5944022
-83,-24,55,2416774
70,-60,67,5293026
16,83,8,3262
84,-97,100,25838068
64,-55,-52,1947952
-9,-35,-17,23640
71,-22,-97,22909428
-94,17,-66,4976424
-57,-62,79,10134166
-54,-39,29,192320
3,62,-84,12957066
62,-9,-68,5618052
53,89,-85,13591690
31,59,71,6667882
13,69,14,14486
49,-17,-7,1350
-9,-61,-46,1195522
-51,-49,1,-284
-2,-42,-86,14203172
-4,10,57,2796490
-75,-85,-90,16987132
-71,49,20,46200
-45,65,90,17019832
-30,-46,65,4684730
-75,-34,-86,14192008
83,88,16,25652
-29,-32,95,21072278
-73,87,20,47716
11,41,-65,4701544
-51,-44,-4,-706
-66,-14,-86,14197036
-90,91,-5,484
19,-61,-23,78458
-20,-17,4,-188
-30,30,-4,202
45,10,-82,11776626
-50,6,18,29790
22,82,4,1138
31,2,79,10158310
-18,54,-63,4154256
-44,-23,-24,91650
-70,-92,-82,11740834
-70,37,-99,24824402
-89,-10,85,13550522
-71,21,-11,3816
79,55,-96,22003722
-39,2,14,11020
-33,-55,6,-622
31,-89,-62,3888226
1,-19,6,290
5,92,-30,231696
-74,25,43,918198
99,-90,11,4892
10,30,-57,2800406
-47,81,1,244
75,-68,76,8711642
-20,91,76,8721688
12,61,18,34112
2,53,21,59100
-89,-78,-98,23817874
-54,87,-59,3207190
-95,-57,-35,401068
-27,96,-15,17914
93,6,82,11783834
29,38,84,12957354
-27,-1,-74,7834316
97,-30,59,3210968
85,20,-17,28816
-9,47,3,384
-82,17,70,6282966
-34,-30,-61,3645556
26,-43,-15,15056
7,-68,-60,3415266
-98,-6,96,21957904
82,-77,32,290402
68,-45,-87,14880808
-11,-59,100,25826744
59,-54,-27,149988
-24,-73,64,4403290
-97,-11,87,14858082
-55,-13,-14,10122
19,77,-97,22918744
56,-12,-9,3090
-91,55,70,6287102
-26,3,47,1305960
-75,-43,-60,3408476
50,33,13,11336
-66,57,-42,840364
-100,-3,87,14858968
-33,-43,-89,16265388
-64,21,41,761670
71,-31,10,4160
-18,-68,-2,-454
54,84,76,8731858
-65,71,57,2796612
6,-13,1,-26
-14,26,99,24833290
-46,-3,-34,364384
52,-2,42,845202
-90,87,-51,1803682
-21,-6,-61,3650118
-42,-41,41,758266
-23,77,-31,259946
-17,76,-95,21095294
59,-87,-88,15561010
-53,-52,99,24809968
57,-43,-29,198518
90,82,-22,75548
100,13,24,100362
30,-50,-96,21973944
16,90,74,7854330
13,62,49,1548536
-78,-31,41,756154
-62,-2,-9,1166
43,50,-97,22918108
11,13,5,558
-98,-68,-63,4128560
-87,-20,-91,17758440
-45,-40,26,124914
46,24,-87,14889124
4,16,-43,924114
42,-99,24,91978
97,55,-63,4168874
-61,25,21,55222
29,-73,23,78342
83,-44,-20,48454
-93,-52,83,12322088
0,43,60,3427968
70,91,39,641692
-72,55,-70,6289762
9,-72,-85,13556518
-63,24,15,14530
-67,-85,-1,-460
83,-64,1,-76
-41,75,5,782
