input0:int,input1:int,input2:int,output:int
-100,-100,-100,30309
-10,-10,-10,339
-4,-4,-4,69
-3,-3,-3,60
-2,-2,-2,27
-1,-1,-1,20
0,0,0,9
1,1,1,12
2,2,2,15
3,3,3,36
4,4,4,45
5,5,5,92
10,10,10,279
100,100,100,29709
-86,-77,-79,27504
-8,-57,88,-3156
71,-22,-36,-7551
55,-46,55,8919
-91,48,74,-20415
-60,10,63,-11520
0,85,30,-108
-5,39,13,-300
28,-32,-91,-7362
-93,-7,19,-7132
-19,-3,8,-628
34,-58,43,4266
-55,-40,-41,6897
-94,-55,-17,6472
-56,-66,30,-5121
30,-8,31,2706
72,43,-54,-15324
14,6,88,3441
34,95,-7,-912
51,-10,-8,-1191
14,-59,93,4848
2,83,89,368
18,67,35,2392
-37,25,-29,4420
27,28,31,2427
-10,69,16,-692
18,-11,45,3072
85,42,85,21429
16,24,68,3069
-44,-17,79,-14208
-58,57,-32,7564
97,22,-21,-6039
-23,80,29,-2079
43,32,29,3663
66,57,50,13012
4,-21,87,1056
-47,25,31,-5940
-7,75,59,-1876
-81,100,-13,3207
85,-98,-52,-13095
90,-73,-85,-30248
47,67,-88,-16180
-31,51,-42,5388
74,-73,93,27168
33,-66,-32,-3063
-38,-47,-85,13272
8,83,94,2644
-92,-86,-8,2241
-8,-56,-37,1008
72,-94,-79,-16818
-71,-83,-94,27084
-90,86,-95,25944
-5,-35,-68,1644
-60,88,-53,9708
33,77,-100,-12788
-2,50,-89,810
-37,-62,-91,10383
-99,-12,57,-17091
60,90,91,16116
-72,-27,-14,4100
25,-93,-22,-2100
14,41,96,5004
54,89,-89,-18856
-33,93,2,-260
59,80,-61,-10605
21,-43,-77,-6148
69,75,-20,-5428
-74,-94,14,-3141
-68,32,49,-10134
99,0,24,7065
31,-17,-64,-7668
-13,-34,-33,1395
55,7,67,14484
-96,79,42,-16284
-65,71,-86,22716
-36,-92,-67,7446
-59,-57,-76,18252
16,62,-41,-1836
30,81,-92,-10660
-37,-41,82,-12452
13,-82,-36,-1287
-80,51,-42,13620
59,59,81,18804
-8,-35,75,-2688
8,-29,34,964
92,-99,-62,-22556
-91,-2,4,-1095
-59,-72,31,-5571
85,-78,-39,-9819
-74,-75,-95,28512
-54,92,-41,6774
-74,-45,-94,28212
33,71,18,2316
16,-21,37,2232
64,-3,-46,-11580
75,94,-47,-10425
86,11,8,2732
30,-95,48,5580
51,-87,7,1412
34,48,-54,-5337
-76,69,22,-6764
-7,-96,32,-759
-70,56,-7,1500
-26,76,-5,414
-22,-96,75,-5166
5,-75,-74,-1172
-22,-50,98,-6753
72,-96,15,3204
-85,5,63,-21660
24,18,-47,-3234
50,57,-82,-16060
-99,-28,-94,28209
-5,-22,85,-1521
-81,-44,93,-22869
25,-51,-71,-6804
46,-5,0,12
83,18,-65,-15981
92,-12,1,282
-69,-35,-69,19332
-69,-80,57,-11961
-15,64,0,9
-46,77,-74,13924
-94,58,68,-19371
20,98,-89,-5064
85,80,27,6813
-26,-9,17,-1824
-64,-5,-32,8332
23,34,22,1461
84,86,7,1752
25,74,-25,-1791
1,-41,-60,12
25,52,-34,-2439
40,9,78,12180
73,78,-79,-17055
49,86,47,6777
-76,-82,-9,2088
-55,39,-63,14124
6,-83,-78,-1548
74,65,-91,-26560
-68,-25,-1,288
-41,81,71,-11916
74,-16,12,2637
-56,34,-27,4626
-72,-61,38,-11084
93,8,-76,-20967
-16,32,-37,1896
83,31,-35,-11468
-57,-60,18,-3123
80,-40,3,720
-9,100,95,-2841
46,86,-63,-8496
19,12,84,4545
-93,52,-2,573
88,-54,0,9
30,-87,23,2680
-30,3,-36,4476
81,87,5,1612
80,65,20,6332
-8,40,-16,441
82,90,68,16533
-80,94,85,-20646
-43,36,59,-7779
-52,3,70,-14828
-3,62,-98,1185
-20,18,34,-2133
82,19,66,21396
-55,-76,-96,16137
3,-45,86,700
45,55,-2,-340
-45,-75,-1,196
42,96,-49,-6018
-30,90,50,-4641
48,-51,25,4712
56,-65,-98,-21548
56,73,11,2432
23,-36,31,2055
44,-56,19,2460
82,-48,94,22851
-82,-11,-100,33212
24,36,71,4908
68,-84,93,18702
51,24,72,10809
-15,17,-32,2060
28,17,-93,-10032
-80,57,93,-30120
-12,-56,94,-3657
