input0:int,input1:int,input2:int,output:int
-100,-100,-100,-150000
-10,-10,-10,-1500
-1,-1,-1,-20
0,0,0,0
1,1,1,20
2,2,2,140
3,3,3,315
4,4,4,320
5,5,5,375
6,6,6,720
8,8,8,2240
9,9,9,1620
10,10,10,1500
11,11,11,605
12,12,12,720
100,100,100,50000
33,6,-23,6930
-7,-26,-56,-6370
96,80,80,38400
38,69,-29,91770
-72,-94,-37,-236880
-2,91,7,-6370
-36,28,-19,-20160
63,75,85,23625
2,-65,41,650
-85,-65,-50,-82875
-62,80,36,-24800
43,75,-47,112875
-16,38,-69,-12160
83,63,-83,183015
-21,4,-80,-1680
29,21,63,3045
53,-64,74,16960
4,29,-14,2320
-96,10,-5,-19200
46,-87,92,20010
89,-10,-88,17800
22,-5,48,550
98,-99,3,339570
-39,-71,42,-13845
-46,-37,34,-8510
-8,-86,-32,-24080
-84,-30,-51,-50400
91,54,42,24570
36,41,-67,29520
-36,68,-22,-48960
-11,-19,-57,-4180
-15,-76,47,-5700
48,100,-31,168000
-15,-98,-88,-22050
92,-11,-96,35420
19,90,-31,34200
21,62,-87,26040
86,-50,-21,86000
-34,-81,91,-13770
83,24,-95,69720
58,44,34,12760
75,-65,3,73125
24,87,51,10440
0,-54,-50,0
-36,-62,73,-11160
-72,-46,-88,-115920
37,-22,-20,28490
-20,-88,-59,-26400
7,-77,76,2695
97,-21,-36,71295
68,3,22,1020
-81,38,-79,-61560
39,62,-39,48360
-43,36,-33,-54180
47,-59,-25,97055
-88,85,24,-37400
50,0,24,0
-44,41,4,-36080
32,60,13,9600
-81,17,92,-6885
-45,-42,23,-9450
-19,-52,-7,-19760
53,-93,90,24645
47,45,32,10575
8,-87,-16,24360
48,-57,42,13680
-41,56,-20,-45920
-6,-56,93,-1680
-46,-23,11,-5290
-9,14,51,-630
-77,32,-73,-86240
33,-98,-51,113190
47,80,41,18800
95,-55,15,26125
18,14,29,1260
-65,37,40,-12025
21,15,-97,6300
-25,-33,-53,-12375
-98,19,-14,-65170
92,-16,-46,51520
-87,-32,-75,-97440
32,70,79,11200
-97,-93,-72,-315735
20,81,-23,24300
56,-48,99,13440
-75,99,-94,-111375
16,37,94,2960
-44,66,-93,-58080
2,-69,9,4830
-86,89,38,-38270
-85,-52,37,-22100
-33,-32,-9,-36960
-12,39,48,-2340
6,3,-99,360
34,92,-14,62560
-80,93,91,-37200
-92,60,87,-27600
-28,-17,-18,-16660
-70,-15,-68,-15750
37,-38,26,7030
-28,13,-69,-12740
-35,-37,-82,-19425
74,7,-21,10360
75,-49,23,18375
-7,-68,-46,-16660
29,46,-62,26680
100,-25,-79,37500
11,12,35,660
-1,99,33,-495
54,94,-61,101520
69,43,-64,59340
-58,50,36,-14500
-19,26,-28,-9880
4,-84,57,1680
-40,-57,82,-11400
-62,99,-40,-214830
9,40,-18,7200
38,94,13,17860
92,28,-68,90160
-27,-38,26,-5130
-36,28,-52,-20160
-5,-99,62,-2475
-69,-15,26,-5175
-81,10,-78,-16200
31,-4,-38,2480
-57,-82,-25,-163590
-82,-27,-14,-77490
95,18,-18,25650
-62,-62,90,-19220
-32,-22,-2,-24640
-17,47,31,-3995
61,-64,11,19520
-74,93,67,-34410
60,98,-35,88200
-40,-45,-46,-27000
39,-6,86,1170
11,-4,-31,880
-80,-22,3,-26400
65,-48,-20,46800
-97,-91,45,-44135
49,-85,-10,83300
72,66,25,23760
3,8,56,120
-34,76,-23,-51680
15,97,-59,21825
92,6,-46,19320
-52,-47,-8,-85540
88,81,-50,249480
-42,95,62,-19950
-3,-82,16,-1230
68,-50,-10,119000
84,28,100,11760
-68,49,23,-16660
88,13,65,5720
-78,-67,-40,-182910
11,96,0,21120
-42,75,2,-110250
-4,24,-15,-1920
77,-39,-17,105105
-2,-46,-56,-3220
26,-98,21,12740
-75,4,66,-1500
23,-75,-53,60375
27,-93,-33,87885
20,-67,-50,20100
-60,-35,-63,-31500
-91,-69,-26,-125580
12,-87,-78,36540
-25,56,65,-7000
-34,36,-21,-24480
65,-4,32,1300
-33,44,-92,-50820
98,65,-93,222950
81,37,-28,59940
36,56,-82,40320
80,-86,-30,103200
-25,57,-11,-21375
23,-46,96,5290
28,-73,-89,71540
-5,-5,22,-125
14,-16,94,1120
26,-7,-44,3640
-98,53,-71,-181790
-11,32,-62,-7040
